,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
124,5.0,14,237,14,1553524.0,27627.509580672267,64.39076302520995,760142.4984360001,588490.9871641244,Carne y productos carnicos,Buenos Aires,30.0,4,3470.970312493151,10021.0185,-3859.1047,4,956.1846533972704,0.016877637130801686,0
125,5.0,15,232,14,1481580.0,31314.950558798282,66.49367596566535,731369.6921859996,540503.1477320449,Carne y productos carnicos,Buenos Aires,30.0,7,3138.9257175364787,10021.0185,-3859.1047,4,953.1772367331781,0.03017241379310345,0
126,5.0,16,236,15,1500531.0,30788.73797552738,68.83413544303787,768821.204859,573877.1142880913,Carne y productos carnicos,Buenos Aires,30.0,6,3243.9713285189873,10021.0185,-3285.14773,4,956.1245149485268,0.025423728813559324,0
127,5.0,17,251,12,1598644.0,16068.608685258983,70.58394262948202,822209.2534420006,653898.5612486326,Carne y productos carnicos,Buenos Aires,30.0,4,3275.73407745817,9610.18095,-3285.14773,4,919.6684167585644,0.01593625498007968,0
128,5.0,18,235,13,1555907.0,3112.893489361689,72.20978382978761,793511.0029649994,683434.0287859228,Carne y productos carnicos,Buenos Aires,30.0,3,3376.642565808508,11332.90467,-3285.14773,4,921.1047302203388,0.01276595744680851,0
129,5.0,19,246,14,1638692.0,2948.9811382113794,74.34616544715456,849173.5936509995,725315.9881659126,Carne y productos carnicos,Buenos Aires,30.0,0,3451.9251774430873,11332.90467,0.0,4,905.6682575040986,0.0,0
130,5.0,20,250,13,1701363.0,2902.3074400000005,76.73723960000005,870100.7068649995,732513.8645119605,Carne y productos carnicos,Buenos Aires,30.0,0,3480.4028274599978,11332.90467,0.0,4,882.688567206642,0.0,0
144,6.0,3,21,10,478199.0,9.799523809523809,43.730699999999985,52492.148767000006,74683.4978604,Bebidas,San Juan,45.0,0,2499.626131761905,8003.88,115.6116,1,1441.0186049145022,0.0,0
145,6.0,4,46,21,766767.0,10.616956521739132,43.10531956521735,83189.47466279998,120863.84591260001,Bebidas,San Juan,45.0,0,1808.466840495652,8003.88,115.6116,2,1477.4734123955834,0.0,0
146,6.0,5,50,22,786257.0,11.291200000000002,43.864208285599965,87148.60831179998,126123.37978530001,Bebidas,San Juan,45.0,0,1742.9721662359996,8003.88,115.6116,3,1475.5210533091426,0.0,0
